"Date","Price","Open","High","Low","Vol.","Change %"
"07/08/2024","393.25","409.50","410.00","391.25","183.88K","-4.20%"
"07/05/2024","410.50","405.50","412.25","405.00","90.32K","1.23%"
"07/03/2024","405.50","407.75","409.75","404.00","110.94K","-0.61%"
"07/02/2024","408.00","408.00","413.75","405.75","121.58K","0.25%"
"07/01/2024","407.00","407.50","410.00","401.00","158.70K","-0.12%"
"06/28/2024","407.50","422.50","429.00","399.50","314.60K","-3.55%"
"06/27/2024","422.50","425.50","427.50","422.25","257.43K","-0.71%"
"06/26/2024","425.50","431.50","436.00","424.25","234.61K","-1.45%"
"06/25/2024","431.75","439.50","440.50","429.25","177.84K","-1.76%"
"06/24/2024","439.50","441.00","442.00","430.50","162.49K","-0.23%"
"06/21/2024","440.50","444.75","447.50","440.25","163.09K","-0.96%"
"06/20/2024","444.75","453.75","454.50","444.00","147.82K","-2.41%"
"06/18/2024","455.75","450.25","457.25","449.50","106.45K","1.28%"
"06/17/2024","450.00","455.25","456.75","449.25","87.76K","0.00%"
"06/14/2024","450.00","458.00","459.50","448.00","228.39K","-1.85%"
"06/13/2024","458.50","453.50","460.50","453.50","296.25K","0.94%"
"06/12/2024","454.25","449.00","455.00","448.50","276.47K","1.06%"
"06/11/2024","449.50","450.75","456.25","449.00","271.96K","-0.50%"
"06/10/2024","451.75","448.75","452.75","447.75","230.93K","0.67%"
"06/07/2024","448.75","452.00","454.25","444.25","238.07K","-0.72%"
"06/06/2024","452.00","439.25","453.25","438.75","261.54K","2.90%"
"06/05/2024","439.25","442.50","444.25","438.25","183.31K","-0.73%"
"06/04/2024","442.50","442.50","448.25","440.00","221.27K","-0.23%"
"06/03/2024","443.50","445.75","449.00","439.00","262.80K","-0.62%"
"05/31/2024","446.25","449.00","453.75","445.50","174.86K","-0.56%"
"05/30/2024","448.75","455.25","457.00","447.50","225.18K","-1.43%"
"05/29/2024","455.25","462.50","463.00","454.25","166.32K","-1.57%"
"05/28/2024","462.50","467.00","471.00","460.00","166.13K","-0.48%"
"05/24/2024","464.75","464.50","466.75","460.75","169.18K","0.16%"
"05/23/2024","464.00","461.25","467.25","458.50","166.86K","0.60%"
"05/22/2024","461.25","458.50","463.25","458.00","175.90K","0.71%"
"05/21/2024","458.00","460.00","461.25","455.00","168.07K","-0.54%"
"05/20/2024","460.50","452.75","463.50","452.25","185.09K","1.77%"
"05/17/2024","452.50","457.25","460.50","451.00","217.85K","-0.98%"
"05/16/2024","457.00","462.25","465.25","456.00","200.53K","-1.19%"
"05/15/2024","462.50","467.75","473.25","461.50","222.34K","1.93%"
"05/14/2024","453.75","461.00","461.00","453.25","0.03K","-1.04%"
"05/13/2024","458.50","453.50","461.50","453.50","0.32K","0.60%"
"05/10/2024","455.75","443.25","455.50","443.25","0.32K","2.94%"
"05/09/2024","442.75","447.25","447.50","441.00","0.57K","-0.62%"
"05/08/2024","445.50","452.75","452.75","444.25","0.63K","-1.82%"
"05/07/2024","453.75","457.00","459.50","453.75","1.02K","-0.71%"
"05/06/2024","457.00","447.00","458.50","444.50","1.91K","-0.71%"
"05/03/2024","460.25","459.50","468.00","457.25","303.31K","0.11%"
"05/02/2024","459.75","450.00","460.50","449.75","240.17K","2.00%"
"05/01/2024","450.75","446.75","451.50","443.75","151.38K","0.90%"
"04/30/2024","446.75","449.00","450.00","444.50","149.01K","-0.56%"
"04/29/2024","449.25","450.00","451.25","445.50","211.47K","-0.17%"
"04/26/2024","450.00","451.75","454.00","449.25","225.50K","2.04%"
"04/25/2024","441.00","437.75","442.00","436.00","168.02K","-1.67%"
"04/24/2024","448.50","452.25","454.25","448.00","228.27K","-0.88%"
"04/23/2024","452.50","449.50","453.25","448.25","173.81K","2.90%"
"04/22/2024","439.75","432.25","441.00","431.00","192.56K","-0.73%"
"04/19/2024","443.00","436.75","443.50","436.00","152.76K","3.81%"
"04/18/2024","426.75","429.50","431.00","426.25","180.78K","-3.23%"
"04/17/2024","441.00","442.75","444.25","440.75","122.10K","2.32%"
"04/16/2024","431.00","431.25","432.25","428.50","148.12K","-0.12%"
"04/15/2024","431.50","434.50","435.00","430.25","152.25K","-0.92%"
"04/12/2024","435.50","428.25","437.50","427.00","202.05K","1.57%"
"04/11/2024","428.75","434.00","437.50","427.50","250.70K","-1.27%"
"04/10/2024","434.25","431.00","435.75","430.75","210.26K","0.70%"
"04/09/2024","431.25","435.00","435.75","429.75","219.30K","-0.98%"
"04/08/2024","435.50","433.75","437.50","431.50","215.99K","0.29%"
"04/05/2024","434.25","435.00","438.50","432.25","192.94K","-0.23%"
"04/04/2024","435.25","432.25","436.00","429.75","153.81K","0.81%"
"04/03/2024","431.75","428.25","433.00","425.75","187.68K","1.23%"
"04/02/2024","426.50","435.75","436.75","424.50","235.50K","-2.07%"
"04/01/2024","435.50","441.75","442.00","432.25","200.47K","-1.53%"
"03/29/2024","442.25","442.25","442.25","442.25","","0.06%"
"03/28/2024","442.00","426.75","448.00","426.00","360.09K","3.57%"
"03/27/2024","426.75","432.00","432.25","426.25","165.19K","-1.33%"
"03/26/2024","432.50","437.25","440.75","432.00","155.31K","-1.20%"
"03/25/2024","437.75","439.00","441.25","437.00","118.61K","-0.34%"
"03/22/2024","439.25","440.25","441.50","436.00","132.90K","-0.34%"
"03/21/2024","440.75","439.00","445.75","437.50","158.79K","0.40%"
"03/20/2024","439.00","439.00","439.50","435.50","131.97K","-0.11%"
"03/19/2024","439.50","436.50","440.00","435.00","115.12K","0.80%"
"03/18/2024","436.00","437.00","440.50","434.00","121.82K","-0.17%"
"03/15/2024","436.75","433.75","440.00","431.75","140.24K","3.37%"
"03/14/2024","422.50","426.00","426.00","423.00","0.05K","-0.94%"
"03/13/2024","426.50","430.00","432.50","430.00","0.08K","-0.58%"
"03/12/2024","429.00","425.00","435.00","424.75","0.53K","0.18%"
"03/11/2024","428.25","421.75","428.50","419.75","0.62K","0.47%"
"03/08/2024","426.25","424.25","426.50","420.50","0.76K","0.06%"
"03/07/2024","426.00","418.25","427.50","418.25","1.65K","1.91%"
"03/06/2024","418.00","413.25","416.25","412.00","2.54K","1.09%"
"03/05/2024","413.50","417.25","418.00","412.50","1.54K","-0.96%"
