"Date","Price","Open","High","Low","Vol.","Change %"
"08/24/2018","514.75","522.00","522.00","513.00","52.01K","-1.39%"
"08/23/2018","522.00","529.00","535.50","515.50","35.63K","-0.76%"
"08/22/2018","526.00","526.50","533.00","520.50","35.80K","-0.24%"
"08/21/2018","527.25","544.00","544.25","526.25","38.08K","-2.77%"
"08/20/2018","542.25","562.00","562.75","540.75","42.93K","-3.26%"
"08/17/2018","560.50","542.25","563.00","535.00","66.48K","3.37%"
"08/16/2018","542.25","532.50","547.75","531.00","45.52K","1.88%"
"08/15/2018","532.25","541.00","542.75","528.25","70.67K","-1.75%"
"08/14/2018","541.75","534.75","544.25","532.25","58.39K","1.55%"
"08/13/2018","533.50","546.50","549.75","530.50","94.16K","-2.42%"
"08/10/2018","546.75","564.75","574.00","545.75","113.92K","-3.14%"
"08/09/2018","564.50","570.50","573.75","561.75","87.22K","-0.96%"
"08/08/2018","570.00","569.75","578.00","564.50","91.81K","0.31%"
"08/07/2018","568.25","575.25","586.25","564.00","106.03K","-1.09%"
"08/06/2018","574.50","555.00","576.25","551.50","75.85K","3.28%"
"08/03/2018","556.25","563.25","567.75","554.00","78.47K","-0.76%"
"08/02/2018","560.50","559.50","593.00","559.00","150.99K","0.40%"
"08/01/2018","558.25","555.25","566.00","550.75","100.63K","0.81%"
"07/31/2018","553.75","545.50","565.00","540.50","97.01K","1.33%"
"07/30/2018","546.50","533.50","551.75","532.75","72.66K","3.02%"
"07/27/2018","530.50","536.00","542.00","525.25","95.00K","-1.12%"
"07/26/2018","536.50","544.75","553.75","532.00","128.99K","-1.15%"
"07/25/2018","542.75","511.50","545.25","511.25","145.91K","6.37%"
"07/24/2018","510.25","511.50","516.25","505.25","66.28K","-0.68%"
"07/23/2018","513.75","518.00","522.50","512.00","74.23K","-0.44%"
"07/20/2018","516.00","503.50","519.75","503.00","76.74K","2.33%"
"07/19/2018","504.25","493.75","505.75","490.25","57.47K","1.97%"
"07/18/2018","494.50","498.25","505.00","493.75","54.26K","-0.65%"
"07/17/2018","497.75","491.00","504.25","487.75","70.28K","1.89%"
"07/16/2018","488.50","495.25","498.50","486.75","62.01K","1.45%"
"07/13/2018","481.50","484.50","497.50","481.25","0.01K","-0.21%"
"07/12/2018","482.50","484.25","484.25","484.25","0.07K","2.71%"
"07/11/2018","469.75","488.00","490.50","471.25","0.01K","-4.03%"
"07/10/2018","489.50","503.00","503.00","485.75","0.05K","-3.59%"
"07/09/2018","507.75","509.50","509.75","504.25","0.06K","-0.98%"
